writer,tweet_total,comment_total,retweet_total,like_total,reaction_total
vincent13031925,1421,15059,44731,271585,331375
gerberkawasaki,1543,26679,28203,215580,270462
teslacharts,1788,11988,12289,121854,146131
markbspiegel,2171,10304,8106,81474,99884
pluginfud,3583,11913,5640,72945,90498
orthereaboot,2528,5778,8756,67355,81889
polixenes13,2494,5337,6952,62516,74805
28delayslater,686,5329,5590,53267,64186
passthebeano,7495,6554,4536,51909,62999
teslaopinion,3418,3202,10463,47121,60786
evdefender,2755,4264,6475,49026,59765
alpsoy66,2666,2765,6943,40241,49949
wallstcynic,790,4342,4867,37356,46565
barkmsmeagol,966,3567,5051,36578,45196
teslany,1223,2478,10617,30011,43106
valueanalyst1,898,4718,3874,33351,41943
paul91701736,1544,3315,3283,35207,41805
plainsite,988,2432,5691,29757,37880
elonbachman,548,2308,4344,27886,34538
shortingisfun,3946,3446,2762,25950,32158
bgrahamdisciple,703,2317,2159,26824,31300
bradmunchen,1260,2753,2940,24342,30035
realsheepwolf,2188,831,11080,17213,29124
vgrinshpun,515,1327,4009,22428,27764
zomgapocalypse,3252,3992,2093,19140,25225
bagholderquotes,389,962,1351,21920,24233
melaynalokosky,3157,3068,2449,18277,23794
fly4dat,873,2628,1900,17654,22182
stevehamel16,411,1480,2927,15761,20168
phoennix10,609,1434,2737,15611,19782
trumpery45,1091,2139,1844,14059,18042
iliketeslas,545,1997,1262,14745,18004
jcoviedo6,941,1512,2222,13956,17690
evannex_com,531,432,3566,13461,17459
s_padival,445,1219,2391,13540,17150
4xrevenue,1571,1312,1147,14605,17064
bsa19741,372,1014,1749,14186,16949
contrarianshort,1253,1458,633,14567,16658
mothercabrininy,2978,2574,784,13206,16564
facts_tesla,661,919,2677,12805,16401
davidmoadel,11029,960,4312,10580,15852
eliteoptions2,937,1981,2022,11468,15471
kawasakikr11,1392,1547,1610,12222,15379
bertelschmitt,1087,1764,2484,11054,15302
commuternyc,6394,2915,1122,11184,15221
elonsworld,427,1059,2286,11857,15202
boriquagato,410,988,1658,12120,14766
wpipperger,943,3043,1477,10090,14610
phenomenalpoto,687,1169,1572,11560,14301
johnscharts,1128,1335,1695,11091,14121
thestreet,1126,1616,3484,8682,13782
reddogt3,493,1432,1685,10430,13547
sbalatan,2621,1380,1192,10559,13131
tool_grinder,690,973,1187,10805,12965
macrockets,532,664,1600,10643,12907
ophirgottlieb,2379,1496,3109,8228,12833
truebubblehead,1376,1056,1240,10103,12399
realwillmeade,411,1384,1058,9356,11798
donutshorts,531,917,1259,9345,11521
marshmall0wpeep,1368,1432,983,8836,11251
grainsurgeon,482,1141,821,8815,10777
bomsteinrick,1028,937,769,8993,10699
valuedissenter,401,1106,697,8799,10602
john54436259,1094,1246,1037,7731,10014
mchaudhry82,1289,393,1567,7661,9621
twainsmustache,655,682,892,7582,9156
tomi,590,1056,512,7566,9134
rampuptrading,488,580,910,7316,8806
steelnicho,3446,1172,458,7062,8692
mikeo188,5787,1954,796,5759,8509
jebkinnison,567,690,691,6916,8297
hedgehogoptions,1277,1495,386,6148,8029
