company_name,writer,tweet_total,comment_total,retweet_total,like_num,reaction_total
Amazon.com,banana3stocks,5403,392.0,227.0,2010.0,2629.0
Amazon.com,davidmoadel,3535,297.0,1356.0,3350.0,5003.0
Amazon.com,wickedsplits,3143,56.0,463.0,245.0,764.0
Amazon.com,exactoptionpick,2750,9.0,23.0,226.0,258.0
Amazon.com,mikeo188,2153,711.0,214.0,1618.0,2543.0
Amazon.com,blogyomi,1606,11.0,3.0,10.0,24.0
Amazon.com,ulmhi,1493,4.0,2.0,10.0,16.0
Amazon.com,fuckcnbc,1467,4.0,294.0,79.0,377.0
Amazon.com,naashonomics,1428,46.0,221.0,261.0,528.0
Amazon.com,optionalarm,1399,4.0,16.0,131.0,151.0
Amazon.com,brianinvest,1046,86.0,4.0,212.0,302.0
Amazon.com,elliottforecast,989,20.0,282.0,301.0,603.0
Amazon.com,stehaller,846,90.0,475.0,1082.0,1647.0
Amazon.com,iamtito_,808,1.0,52.0,24.0,77.0
Amazon.com,alert_options,761,37.0,261.0,526.0,824.0
Amazon.com,wallstsolver,747,7.0,146.0,32.0,185.0
Amazon.com,fintwitamzn,699,12.0,34.0,91.0,137.0
Amazon.com,theburdettelawf,657,69.0,21.0,213.0,303.0
Amazon.com,wise_owl_trader,610,199.0,180.0,1189.0,1568.0
Amazon.com,minteractapp,608,21.0,191.0,162.0,374.0
Amazon.com,topstockalerts1,590,26.0,39.0,101.0,166.0
Amazon.com,tickwatchermf,561,36.0,84.0,345.0,465.0
Amazon.com,talkmarkets,554,4.0,12.0,60.0,76.0
Amazon.com,oactrading,553,2.0,4.0,27.0,33.0
Amazon.com,themarketisopen,539,1.0,3.0,27.0,31.0
Amazon.com,jorellarakalel,516,9.0,23.0,107.0,139.0
Amazon.com,ophirgottlieb,512,385.0,989.0,2499.0,3873.0
Amazon.com,eliteoptionswap,508,105.0,45.0,531.0,681.0
Amazon.com,freetrades4u,497,27.0,48.0,486.0,561.0
Amazon.com,sonycomeback,467,45.0,103.0,112.0,260.0
Amazon.com,newsfilterio,463,2.0,61.0,25.0,88.0
Amazon.com,1minutestock,451,1.0,3.0,11.0,15.0
Amazon.com,drweeklyoptions,443,107.0,68.0,858.0,1033.0
Amazon.com,quanttradr,437,115.0,64.0,214.0,393.0
Amazon.com,optionsforecast,432,168.0,136.0,924.0,1228.0
Amazon.com,rimisback,423,117.0,433.0,816.0,1366.0
Amazon.com,stckpro,420,1.0,35.0,18.0,54.0
Amazon.com,stickycactusink,394,37.0,259.0,347.0,643.0
Amazon.com,tradingthomas3,389,117.0,14.0,314.0,445.0
Amazon.com,theflynews,373,35.0,942.0,431.0,1408.0
Amazon.com,ericdavis221,372,326.0,10.0,99.0,435.0
Amazon.com,truebubblehead,360,292.0,275.0,2352.0,2919.0
Amazon.com,marketcurrents,359,9.0,147.0,167.0,323.0
Amazon.com,raymond10mm,359,39.0,122.0,462.0,623.0
Amazon.com,realsheepwolf,353,142.0,2344.0,3684.0,6170.0
Amazon.com,shareplanner,352,30.0,407.0,187.0,624.0
Amazon.com,profectusystems,336,11.0,1.0,64.0,76.0
Amazon.com,larrylivinston,315,28.0,27.0,167.0,222.0
Amazon.com,eliteoptions2,314,638.0,631.0,3740.0,5009.0
Amazon.com,anky7544,312,29.0,12.0,106.0,147.0
Amazon.com,shortvolumes,307,2.0,1.0,43.0,46.0
Amazon.com,japanesegunto,304,22.0,6.0,46.0,74.0
Amazon.com,bwuic,303,3.0,43.0,58.0,104.0
Amazon.com,pkchin888,301,3.0,0.0,87.0,90.0
Amazon.com,data168,297,228.0,124.0,1057.0,1409.0
Amazon.com,swingtradeideas,297,0.0,0.0,1.0,1.0
Amazon.com,dataswarmm,294,0.0,0.0,0.0,0.0
Amazon.com,brainhoits,286,38.0,34.0,104.0,176.0
Amazon.com,pbay08,284,78.0,28.0,112.0,218.0
Amazon.com,tmgstocktips,281,17.0,149.0,369.0,535.0
Amazon.com,ewfsanjay,276,2.0,13.0,32.0,47.0
Amazon.com,farrisbaba,276,473.0,152.0,2309.0,2934.0
Amazon.com,naviavatar1,274,114.0,316.0,802.0,1232.0
Amazon.com,mchaudhry82,273,79.0,344.0,1603.0,2026.0
Amazon.com,barchart,262,14.0,83.0,146.0,243.0
Amazon.com,jctb1,262,18.0,271.0,494.0,783.0
Amazon.com,jjjinvesting,262,14.0,41.0,112.0,167.0
Amazon.com,briefingcom,256,4.0,193.0,52.0,249.0
Amazon.com,rakutenstock,255,7.0,58.0,53.0,118.0
Amazon.com,420weedstreet,254,19.0,63.0,162.0,244.0
Amazon.com,shawncj6,248,78.0,17.0,39.0,134.0
Amazon.com,sjoerdapp,248,6.0,51.0,89.0,146.0
Amazon.com,johnscharts,245,299.0,446.0,2795.0,3540.0
Amazon.com,benzinga,242,42.0,380.0,403.0,825.0
Amazon.com,papaspoppinpeny,242,33.0,173.0,251.0,457.0
Amazon.com,spartantrading,242,72.0,336.0,1109.0,1517.0
Amazon.com,investorideas,241,3.0,92.0,33.0,128.0
Amazon.com,danshep55,232,162.0,96.0,997.0,1255.0
Amazon.com,drugdoctor2014,231,13.0,114.0,575.0,702.0
Amazon.com,luke_sosnowski,229,172.0,303.0,1166.0,1641.0
Amazon.com,deafdaytrader,226,285.0,145.0,1808.0,2238.0
Amazon.com,jedimarkus77,226,267.0,75.0,845.0,1187.0
Amazon.com,datatrekmb,224,21.0,106.0,122.0,249.0
Amazon.com,marketrealist,215,7.0,7.0,28.0,42.0
